          Secure Mac Address Table
------------------------------------------------------------------------
Vlan    Mac Address       Type                     Ports   Remaining Age
                                                              (mins)    
----    -----------       ----                     -----   -------------
 100    74d4.35dc.d45e    SecureDynamic            Fa1/0/3      -
 300    a0b3.cccc.c251    SecureDynamic            Fa1/0/5      -
 300    fc45.961f.f458    SecureDynamic            Fa1/0/9      -
 400    c42f.9064.c05e    SecureDynamic            Fa1/0/10     -
 100    0060.3729.83cd    SecureDynamic            Fa1/0/12     -
 100    3497.f688.ed8c    SecureDynamic            Fa1/0/13     -
 100    3497.f688.eddd    SecureDynamic            Fa1/0/15     -
 100    1c83.411c.7a36    SecureDynamic            Fa1/0/16     -
 100    3497.f68e.4393    SecureDynamic            Fa1/0/23     -
 100    f44d.30a3.02e8    SecureDynamic            Fa1/0/27     -
 100    1c83.411c.777e    SecureDynamic            Fa1/0/28     -
 100    bc5f.f4d0.b1c8    SecureDynamic            Fa1/0/29     -
 100    60a4.4c4f.9988    SecureDynamic            Fa1/0/30     -
 100    0060.3762.2342    SecureDynamic            Fa1/0/31     -
 100    7c2f.809e.8e2e    SecureDynamic            Fa1/0/34     -
 100    309c.23e4.90c8    SecureDynamic            Fa1/0/35     -
 100    3497.f688.edda    SecureDynamic            Fa1/0/36     -
 100    309c.23e4.91ae    SecureDynamic            Fa1/0/37     -
 100    3497.f637.0740    SecureDynamic            Fa1/0/38     -
 100    0060.37b7.8bfc    SecureDynamic            Fa1/0/41     -
 100    0050.c262.108a    SecureDynamic            Fa1/0/42     -
 100    0060.375d.e381    SecureDynamic            Fa1/0/43     -
 200    000d.ac32.12cd    SecureDynamic            Fa2/0/2      -
 200    3497.f688.eddb    SecureDynamic            Fa2/0/4      -
 200    3497.f688.eeca    SecureDynamic            Fa2/0/6      -
 200    3497.f688.ed9b    SecureDynamic            Fa2/0/8      -
 200    3497.f637.0703    SecureDynamic            Fa2/0/10     -
 200    3497.f637.066a    SecureDynamic            Fa2/0/12     -
 200    000d.ac32.1354    SecureDynamic            Fa2/0/14     -
